        hue,r,g,b,hex,name
42.86,242,240,235,f2f0eb,snow-white
72,244,245,240,f4f5f0,bright-white
42.86,240,238,233,f0eee9,cloud-dancer
30,241,232,223,f1e8df,gardenia
50,240,238,228,f0eee4,marshmallow
120,231,233,231,e7e9e7,blanc-de-blanc
35,242,232,218,f2e8da,pristine
36.67,237,230,219,ede6db,whisper-white
45.6,225,219,200,e1dbc8,white-asparagus
38.18,221,213,199,ddd5c7,birch
40.91,222,215,200,ded7c8,turtledove
41.74,215,208,192,d7d0c0,bone-white
47.14,210,207,196,d2cfc4,silver-birch
43.64,240,234,218,f0eada,vanilla-ice
44.52,245,237,214,f5edd6,papyrus
37.78,237,227,210,ede3d2,antique-white
44.57,245,236,210,f5ecd2,winter-white
43.64,230,221,197,e6ddc5,cloud-cream
36.67,223,209,187,dfd1bb,angora
38.82,230,218,196,e6dac4,seedpearl
38.49,243,224,190,f3e0be,vanilla-custard
54.12,244,239,193,f4efc1,almond-oil
38.82,240,222,189,f0debd,alabaster-gleam
37.65,244,225,193,f4e1c1,vanilla
40.43,236,221,190,ecddbe,rutabaga
39.31,231,211,173,e7d3ad,banana-crepe
41.14,231,209,161,e7d1a1,italian-straw
34.62,224,213,198,e0d5c6,whitecap-gray
38.71,208,197,177,d0c5b1,fog
34.84,228,215,197,e4d7c5,white-swan
35.17,216,204,187,d8ccbb,sandshell
31.88,220,205,188,dccdbc,tapioca
36.32,219,204,181,dbccb5,creme-brulee
34.55,223,209,190,dfd1be,parchment
22.22,246,229,219,f6e5db,sheer-pink
26.9,238,222,209,eeded1,dew
20.69,243,224,214,f3e0d6,powder-puff
31.67,240,223,204,f0dfcc,pearled-ivory
31.67,237,220,201,eddcc9,white-smoke
30.73,243,223,202,f3dfca,ecru
34.09,239,220,195,efdcc3,navajo
12.86,231,220,217,e7dcd9,almost-mauve
3.16,245,227,226,f5e3e2,delicacy
6.67,242,226,224,f2e2e0,petal-pink
17.65,238,226,221,eee2dd,bridal-blush
22.76,246,228,217,f6e4d9,cream-pink
17.14,243,223,215,f3dfd7,angel-wing
20,229,217,211,e5d9d3,pastel-parchment
60,239,239,232,efefe8,star-white
60,226,226,218,e2e2da,lily-white
45,223,221,215,dfddd7,vaporous-gray
105,229,235,227,e5ebe3,summer-shower
81.82,224,228,217,e0e4d9,ice
85,221,226,214,dde2d6,frost
70,218,220,208,dadcd0,icicle
186.67,226,234,235,e2eaeb,bit-of-blue
84,225,227,222,e1e3de,mystic-blue
100,226,230,224,e2e6e0,bluewash
185,211,222,223,d3dedf,spa-blue
92.73,228,234,223,e4eadf,lightest-sky
172.5,216,232,230,d8e8e6,hint-of-mint
120,210,216,210,d2d8d2,murmur
160,221,224,223,dde0df,barely-blue
156,214,219,217,d6dbd9,blue-blush
105,211,217,209,d3d9d1,zephyr-blue
146.67,208,217,212,d0d9d4,blue-flower
155,203,215,210,cbd7d2,sprout-green
180,216,231,231,d8e7e7,billowing-sail
165.88,216,233,229,d8e9e5,hushed-green
35.77,229,208,177,e5d0b1,lambs-wool
30.94,223,192,159,dfc09f,winter-wheat
37,234,211,174,ead3ae,summer-melon
37.85,232,208,167,e8d0a7,chamomile
35.29,242,214,174,f2d6ae,cornhusk
34.29,245,215,175,f5d7af,apricot-gelato
35.74,218,199,171,dac7ab,biscotti
50,210,205,180,d2cdb4,asparagus-green
46.29,210,202,175,d2caaf,oyster-white
